month,total,count,avg,month_str
2023-01,261394.79,82,3187.7413414634148,2023-01
2023-02,209262.97,52,4024.2878846153844,2023-02
2023-03,335821.02,75,4477.613600000001,2023-03
2023-04,151747.79,51,2975.4468627450983,2023-04
2023-05,263412.67,75,3512.168933333333,2023-05
2023-06,223905.15,69,3245.0021739130434,2023-06
2023-07,272535.64,73,3733.3649315068496,2023-07
2023-08,303196.28,79,3837.9275949367093,2023-08
2023-09,382145.72,104,3674.4780769230765,2023-09
2023-10,188970.97,61,3097.8847540983606,2023-10
2023-11,325744.02999999997,84,3877.905119047619,2023-11
2023-12,248463.37,85,2923.098470588235,2023-12
2024-01,239710.0,76,3154.0789473684213,2024-01
2024-02,291241.35,79,3686.5993670886073,2024-02
2024-03,276002.46,81,3407.437777777778,2024-03
2024-04,213423.63,70,3048.909,2024-04
2024-05,286180.5,86,3327.6802325581393,2024-05
2024-06,216332.32,52,4160.236923076924,2024-06
2024-07,340420.51,76,4479.217236842105,2024-07
2024-08,225353.47,76,2965.1772368421052,2024-08
2024-09,255187.37,83,3074.546626506024,2024-09
2024-10,325044.08999999997,82,3963.9523170731704,2024-10
2024-11,231848.78,71,3265.475774647887,2024-11
2024-12,218740.16,67,3264.778507462687,2024-12
